,Brand,Model,Price,Location,Year,Engine_Liter,Car_Age
315,Toyota,RAV4 Prestige,14999000,Алматы,2021,2.0,4
316,Toyota,Land Cruiser Premium,57000000,Алматы,2023,3.5,2
317,Toyota,Camry,15300000,Алматы,2019,3.5,6
318,Toyota,Highlander,13500000,Алматы,2013,3.5,12
319,Toyota,Camry,13000000,Алматы,2018,2.5,7
320,Toyota,Camry,8000000,Алматы,2012,2.5,13
321,Toyota,Carina E,1700000,Аксуат,1995,1.6,30
322,Toyota,Camry,4850000,Актобе,2011,2.5,14
323,Toyota,Land Cruiser Prado,12800000,Усть-Каменогорск,2006,2.7,19
324,Toyota,Ipsum,4200000,Алматы,1996,2.0,29
325,Toyota,Camry,4100000,Атырау,2010,2.5,15
326,Toyota,Avensis,5200000,Алматы,2009,1.8,16
327,Toyota,Land Cruiser Prado,22000000,Караганда,2018,2.7,7
328,Toyota,Land Cruiser Prado,11500000,Алматы,2005,4.0,20
329,Toyota,RAV4,6900000,Алматы,2007,2.0,18
330,Toyota,Camry,14500000,Алматы,2022,2.5,3
331,Toyota,Camry,6500000,Атырау,2016,2.5,9
332,Toyota,Auris,5300000,Алматы,2008,1.8,17
333,Toyota,Corolla,5300000,Алматы,2007,1.6,18
334,Toyota,RAV4,11700000,Астана,2017,2.0,8
335,Toyota,RAV4,9999000,Алматы,2016,2.5,9
336,Toyota,Land Cruiser,10000000,Жезказган,2013,4.2,12
337,Toyota,Sienna,18500000,Астана,2019,3.5,6
338,Toyota,RAV4,9000000,Актау,2016,2.5,9
339,Toyota,Highlander,23000000,Усть-Каменогорск,2023,2.4,2
340,Toyota,Land Cruiser Prado,10000000,Кызылорда,2006,2.7,19
341,Toyota,Land Cruiser,11000000,Актау,2006,4.7,19
342,Toyota,Alphard,4400000,Мангистау,2004,2.4,21
343,Toyota,Highlander,8500000,Атырау,2011,3.5,14
344,Toyota,Land Cruiser,16000000,Усть-Каменогорск,2014,4.5,11
345,Toyota,Camry,10200000,Талдыкорган,2012,2.5,13
346,Toyota,Camry,13900000,Актобе,2019,3.5,6
347,Toyota,Camry,8100000,Актобе,2017,2.5,8
348,Toyota,Camry,22000000,Узынагаш,2024,2.5,1
349,Toyota,Land Cruiser,42400000,Караганда,2022,4.0,3
350,Toyota,Land Cruiser Prado,21500000,Усть-Каменогорск,2018,2.7,7
351,Toyota,RAV4,7900000,Семей,2010,2.0,15
352,Toyota,Land Cruiser Prado,18000000,Алматы,2009,4.0,16
353,Toyota,Corolla,6200000,Актобе,2014,1.6,11
354,Toyota,RAV4,5700000,Петропавловск,2004,2.0,21
355,Toyota,Camry,5800000,Балхаш,2007,2.4,18
356,Toyota,RAV4,11500000,Шымкент,2018,2.5,7
357,Toyota,Land Cruiser Prado,6400000,Тараз,2000,3.0,25
358,Toyota,Highlander,8500000,Алматы,2007,2.4,18
359,Toyota,Camry,15000000,Алматы,2018,3.5,7
360,Toyota,Camry,8500000,Актау,2013,2.5,12
361,Toyota,Camry,7100000,Актобе,2010,3.5,15
362,Toyota,Hilux,16500000,Алматы,2017,2.7,8
363,Toyota,Camry Prestige,11500000,Астана,2015,2.5,10
364,Toyota,Camry,17000000,Шымкент,2023,2.5,2
365,Toyota,Camry,8000000,Шымкент,2013,2.5,12
366,Toyota,Land Cruiser,26000000,Актау,2014,4.6,11
367,Toyota,Land Cruiser,4000000,Байсерке,2002,4.7,23
368,Toyota,Corolla,2000000,Шымкент,1997,1.3,28
369,Toyota,Camry,16500000,Алматы,2020,3.5,5
370,Toyota,Venza,7500000,Актау,2010,2.7,15
371,Toyota,Camry,7900000,Актау,2011,3.5,14
372,Toyota,RAV4,12000000,Уральск,2018,2.5,7
373,Toyota,Camry,14950000,Алматы,2021,2.5,4
374,Toyota,Camry,12500000,Актау,2020,2.5,5
375,Toyota,Corolla,3100000,Атырау,2005,1.6,20
376,Toyota,Corolla,3800000,Алматы,2010,1.4,15
377,Toyota,Hilux Surf,11500000,Алматы,2005,3.4,20
378,Toyota,RAV4,11120000,Шымкент,2017,2.0,8
379,Toyota,Land Cruiser Prado,15890000,Астана,2013,2.7,12
380,Toyota,Highlander,14500000,Кызылорда,2014,2.7,11
381,Toyota,Camry,2200000,Шымкент,1995,3.0,30
382,Toyota,Camry Elegance,18390000,Астана,2025,2.5,0
383,Toyota,Land Cruiser,21500000,Актобе,2013,4.6,12
384,Toyota,Camry,13500000,Тараз,2019,2.5,6
385,Toyota,Camry,2300000,Алматы,1993,2.2,32
386,Toyota,Hiace,11450000,Алматы,2011,2.5,14
387,Toyota,Land Cruiser,24300000,Алматы,2014,4.6,11
388,Toyota,Camry,5140980,Актобе,2003,3.0,22
389,Toyota,Alphard,6000000,Казыгурт,2004,2.4,21
390,Toyota,Land Cruiser Prado,3400000,Атырау,1997,2.7,28
391,Toyota,Land Cruiser,19500000,Алматы,2006,4.5,19
392,Toyota,Highlander,12500000,Алматы,2011,3.5,14
393,Toyota,Camry,13200000,Жанаозен,2021,2.5,4
